25184;20130015;GARLOPA METALICA STANLEY 35CM;1947-01-01
43417;20130126;MORSA PARALELA 5P;1948-01-01
43442;20130121;DESEMPENO DE FERRO FUNDIDO;1948-01-01
43443;20130132;DESEMPENO DE FERRO FUNDIDO;1948-01-01
40450;20130091;LUPA;1952-01-01
41284;20130109;MORSA PARALELA DE 5P;1957-01-01
41286;20130129;MORSA PARALELA DE 5P;1957-01-01
43413;20130125;MORSA PARALELA 5P;1957-01-01
77843;20130121;PEDESTAL DE FERRO FUNDIDO;1958-01-01
103170;20130092;SACADOR ACOPLAMENTOS REGULADOR E AVANCO;1959-01-01
105918;20130117;MORSA N5;1960-01-01
105922;20130129;MORSA N5;1960-01-01
105923;20130126;MORSA N5;1960-01-01
105924;20130109;MORSA N5;1960-01-01
105925;20130122;MORSA N5;1960-01-01
105928;20130126;MORSA N5;1960-01-01
128068;20130153;CARRINHO PARA TUBOS;1963-01-01
133712;20130040;TRANSFERIDOR DE ANGULOS ETALON 200MM;1964-01-01
146734;20130117;EXTRATOR DE PRISIONEIRO BELZER 7492;1965-01-01
143129;20130152;MORSA P BANCADA N 5;1965-07-31
143130;20130152;MORSA P BANCADA N 5;1965-07-31
143170;20130130;MORSA P BANCADA N 5;1965-07-31
143177;20130152;MORSA P BANCADA N 5;1965-07-31
143189;20130015;MORSA P BANCADA N 5;1965-07-31
143194;20130132;MORSA P BANCADA N 5;1965-07-31
131588;20130065;MICROMETRO P DENTES ENGRENAGEM USA;1967-01-01
131700;20130065;MICROMETRO INTERNO 6 A 70MM USA;1967-01-01
131702;20130130;NIVEL DE PRECISAO TUMICO 1 1 2PX15P USA;1967-01-01
168660;20130130;VIBRADOR DE INDUZIDO SNAP ON USAID;1967-01-01
170749;20130153;BIGORNA VILLARES DE 81 KGS;1967-11-30
170863;20130065;VERIFICADOR DE CHAPA KORI;1967-11-30
169288;20130116;MORSA PARA BANCADA N3 FIXA AZUL;1967-12-31
169300;20130117;MORSA PARA BANCADA N4 FIXA AZUL;1967-12-31
169321;20130015;MORSA PARA BANCADA N5 FIXA AZUL;1967-12-31
169322;20130116;MORSA PARA BANCADA N5 FIXA AZUL;1967-12-31
169328;20130129;MORSA PARA BANCADA N5 FIXA AZUL;1967-12-31
169331;20130152;MORSA PARA BANCADA N5 FIXA AZUL;1967-12-31
169333;20130116;MORSA PARA BANCADA N5 FIXA AZUL;1967-12-31
169344;20130015;MORSA PARA BANCADA N5 FIXA AZUL;1967-12-31
171085;20130153;CARRINHO C RODA DE FERRO;1967-12-31
172078;20130045;ARMARIO DE ACO 4 LUGARES MOD PADRAO;1968-02-29
172084;20130015;ARMARIO DE ACO 4 LUGARES MOD PADRAO;1968-02-29
172090;20130045;ARMARIO DE ACO 4 LUGARES MOD PADRAO;1968-02-29
172097;20130045;ARMARIO DE ACO 4 LUGARES MOD PADRAO;1968-02-29
173046;20130065;MEDIDOR C RELOGIO 54 A 150MM STARRET;1968-04-30
173054;20130065;MICROMETRO 3P A 4P STARRET;1968-04-30
173057;20130109;CHAVE SOQUETE 1 A 32MM ITMA JG COMPL;1968-04-30
173114;20130115;CHAVE TUBUL SEXT 6 A 22 JOGO DOWIDAT;1968-04-30
173119;20130129;CAVALETE SUSTENTACAO DO CHASSIS N 2;1968-04-30
173121;20130129;CAVALETE SUSTENTACAO DO CHASSIS N 2;1968-04-30
173383;20130153;MESA PARA SOLDAR DE FERRO ST 179;1968-04-30
174396;20130117;EXTRATOR PRISIONEIRO 19MM DREBO;1968-05-31
174578;20130117;MORSA P BANCADA N 5;1968-05-31
174579;20130121;MORSA P BANCADA N 5;1968-05-31
174580;20130130;MORSA P BANCADA N 5;1968-05-31
174656;20130117;VASADOR DE ACO 10 A 50MM JOGO;1968-05-31
174819;20130121;BANCADA P TESOURA MANUAL SIC 478;1968-05-31
175155;20130130;CHAPA BASE VW 401;1968-05-31
175157;20130130;CHAPA BASE VW 402;1968-05-31
175741;20130040;PRISMA DUPLO DE FF WILLY HERIG;1968-05-31
175744;20130065;BLOCO PRISMATICO C GRAMPO DUPLO W HOERI;1968-05-31
175745;20130065;BLOCO PRISMATICO C GRAMPO DUPLO W HOERI;1968-05-31
175834;20130117;EXTRATOR UNIV C MARTELO BELZER;1968-05-31
176685;20130065;CONTADOR ROTACOES AUTOM MANUAL HARLER;1968-06-30
176688;20130065;MICROMETRO OUTILMETER 5 A 20MM M PAV;1968-06-30
176711;20130065;TRANSFERIDOR UNIVERSAL INOX C BASE;1968-06-30
176776;20130153;BANCO A 2421;1968-06-30
176779;20130153;BANCO A 2421;1968-06-30
176796;20130153;BANCO A 2421;1968-06-30
176799;20130153;BANCO A 2421;1968-06-30
176800;20130153;BANCO A 2421;1968-06-30
176803;20130153;BANCO A 2421;1968-06-30
176806;20130153;BANCO A 2421;1968-06-30
176823;20130153;BANCO A 2421;1968-06-30
176829;20130153;BANCO A 2421;1968-06-30
176834;20130065;BLOCO PADRAO RETANGULAR M MONURHIN 111P;1968-06-30
176835;20130065;ACESSORIOS P BLOCO PADRAO JOGO;1968-06-30
176840;20130014;MESA PARA REUNIAO T A 2468;1968-06-30
177224;20130065;APAR MODULAR PNEUMATIVO M PRECISIONAIRE;1968-06-30
177225;20130040;VALVULA DE MEDICAO PLUNJET R 0 025;1968-06-30
177226;20130040;PADRAO DE AFERICAO P VAL MEDICAO PLUNJE;1968-06-30
177227;20130040;CALIBRADOR TAMPAO COMPLETO T OPEN JET;1968-06-30
177228;20130065;ANEL PADRAO P MED MINIMA 20 000MM;1968-06-30
177229;20130065;ANEL PADRAO P MED MAXIMA 20 060MM;1968-06-30
177966;20130156;ARMARIO DE ACO 2 CORPOS MOD PADRAO 112;1968-06-30
177972;20130045;ARMARIO DE ACO C QUATRO CORPOS MOD 104;1968-06-30
177973;20130158;ARMARIO DE ACO C QUATRO CORPOS MOD 104;1968-06-30
177974;20130015;ARMARIO DE ACO C QUATRO CORPOS MOD 104;1968-06-30
179826;20130040;APARELHO P CONTROLE DE RUGOSIDADE;1968-07-31
180095;20130151;CONJUNTO DE 4 CILINDROS P GAS;1968-07-31
181122;20130005;COFRE DE ACO MOD 1P N35105;1968-08-31
181197;20130048;MORSA FIXA P MAQUINA DE FURAR CABRI;1968-08-31
181318;20130069;CARRO P TRANSPORTE T PLATAFORMA;1968-08-31
181354;20130052;MOTOR ELETRICO BUFALO 5CV N 506931;1968-08-31
196657;20130123;EXTRATOR DE POLIAS 300MM;1968-09-30
196658;20130123;EXTRATOR DE POLIAS 300MM;1968-09-30
182473;20130040;PONTA P MEDICAO INT E EXT 2X2 4MM CEJ;1968-10-31
182474;20130040;PONTA DE MED INT E EXT 2X5 10MM CEJ;1968-10-31
182560;20130065;PAQUIMETRO C BICO BASCULANTE 6P;1968-10-31
183056;20130040;CANTONEIRA PRECISAO 275X150X200MM RETIF;1968-10-31
183042;20130040;PONTA P CENTRAGEM REF 1041 CARY;1968-11-30
183043;20130040;PONTA P TRACAGEM REF 1031 CARY;1968-11-30
183166;20130152;MORSA PARALELA DE BANCADA N 5 AZUL;1968-11-30
183185;20130153;MORSA PARALELA DE BANCADA N 5 AZUL;1968-11-30
183192;20130153;MORSA PARALELA DE BANCADA N 5 AZUL;1968-11-30
198791;20130069;ESTALEIRO METALICO 4 00X1 65M;1969-01-01
194623;20130015;GUARDA ROUPA 4 CORPOS VERDE MOD 104;1969-07-31
194626;20130015;GUARDA ROUPA 4 CORPOS VERDE MOD 104;1969-07-31
194630;20130045;GUARDA ROUPA 4 CORPOS VERDE MOD 104;1969-07-31
194642;20130156;GUARDA ROUPA 4 CORPOS VERDE MOD 104;1969-07-31
194646;20130158;GUARDA ROUPA 4 CORPOS VERDE MOD 104;1969-07-31
194647;20130158;GUARDA ROUPA 4 CORPOS VERDE MOD 104;1969-07-31
207260;20130123;CHAVE ENC P 32MM 3 4P;1969-08-31
207262;20130123;CHAVE P REGULAGEM DE VALVULAS;1969-08-31
196141;20130152;BANCADA C TAMPO SECURIT 505665;1969-09-30
196143;20130048;BANCADA C TAMPO SECURIT 505667;1969-09-30
196144;20130138;BANCADA C TAMPO SECURIT 505668;1969-09-30
196145;20130152;BANCADA C TAMPO SECURIT 505669;1969-09-30
196146;20130121;BANCADA C TAMPO SECURIT 505670;1969-09-30
196147;20130065;BANCADA C TAMPO SECURIT 505671;1969-09-30
196149;20130121;BANCADA C TAMPO SECURIT 505673;1969-09-30
196150;20130121;BANCADA C TAMPO SECURIT 505674;1969-09-30
196154;20130152;BANCADA C TAMPO SECURIT 505678;1969-09-30
196155;20130121;BANCADA C TAMPO SECURIT 505679;1969-09-30
196163;20130152;BANCADA C TAMPO SECURIT 505687;1969-09-30
196208;20130092;CHAVE SOQUETE 11 CHAVES;1969-09-30
196217;20130092;CHAVE SOQUETE JOGO;1969-09-30
196298;20130092;DISPOSITIVO DE MEDICAO EFEP 472;1969-09-30
196300;20130092;DISPOSITIVO DE MEDICAO EFEP 472;1969-09-30
196309;20130092;FERRAMENTA VERIF FOLGA AXIAL EFEP 225;1969-09-30
196312;20130182;FERRAMENTA VERIF FOLGA AXIAL EFEP 222;1969-09-30
196314;20130182;FERRAMENTA VERIF FOLGA AXIAL EFEP 222;1969-09-30
196316;20130092;DISPOS AJUST P REGUL EFEP 56;1969-09-30
196317;20130092;DISPOS AJUST P REGUL EFEP 56;1969-09-30
196595;20130052;MOTOR ELETRICO ANEL N 30292;1969-09-30
196747;20130117;MORSA P BANCADA N 5;1969-09-30
196748;20130130;MORSA P BANCADA N 5;1969-09-30
196749;20130107;MORSA P BANCADA N 5;1969-09-30
196750;20130092;MORSA P BANCADA N 5;1969-09-30
196751;20130092;MORSA P BANCADA N 5;1969-09-30
196752;20130111;MORSA P BANCADA N 5;1969-09-30
196754;20130117;MORSA P BANCADA N 5;1969-09-30
196755;20130110;MORSA P BANCADA N 5;1969-09-30
196756;20130109;MORSA P BANCADA N 5;1969-09-30
196757;20130130;MORSA P BANCADA N 5;1969-09-30
196758;20130116;MORSA P BANCADA N 5;1969-09-30
196759;20130127;MORSA P BANCADA N 5;1969-09-30
196760;20130111;MORSA P BANCADA N 5;1969-09-30
196761;20130127;MORSA P BANCADA N 5;1969-09-30
196762;20130132;MORSA P BANCADA N 5;1969-09-30
196763;20130130;MORSA P BANCADA N 5;1969-09-30
196764;20130132;MORSA P BANCADA N 5;1969-09-30
196766;20130123;MORSA P BANCADA N 5;1969-09-30
196767;20130121;MORSA P BANCADA N 5;1969-09-30
196768;20130123;MORSA P BANCADA N 5;1969-09-30
196769;20130129;MORSA P BANCADA N 5;1969-09-30
196770;20130107;MORSA P BANCADA N 5;1969-09-30
196772;20130129;MORSA P BANCADA N 5;1969-09-30
196785;20130121;CHAVE ESPECIAL 22 A 36MM JG C 9 PCS;1969-09-30
196796;20130123;EXTRATOR DE POLIA 12P KIKKO;1969-09-30
196797;20130123;EXTRATOR 5P KUKKO;1969-09-30
196835;20130130;MORSA P BANCADA N2;1969-09-30
196836;20130130;MORSA P BANCADA N2;1969-09-30
196837;20130121;MORSA P BANCADA N2;1969-09-30
196838;20130112;MORSA P BANCADA N2;1969-09-30
196839;20130130;MORSA P BANCADA N2;1969-09-30
196852;20130130;CARRINHO MOD MANUT N 78392 SECURIT;1969-09-30
196853;20130130;CARRINHO MOD MANUT N 78393 SECURIT;1969-09-30
196854;20130121;CARRINHO MOD MANUT N 78394 SECURIT;1969-09-30
196857;20130092;CARRINHO MOD MANUT N 78397 SECURIT;1969-09-30
196937;20130182;ACOPLAMENTO P BOMBAS 18XBR;1969-09-30
